L,Cmps,QPS,Recall
1700,71,25000,100
1400,71,28571.4,100
1100,71,28571.4,100
1000,71,33333.3,100
900,71,33333.3,100
800,71,33333.3,100
700,71,33333.3,100
600,71,33333.3,100
500,71,33333.3,100
400,71,33333.3,100
300,71,33333.3,100
250,71,33333.3,100
200,71,33333.3,100
180,71,33333.3,100
160,71,33333.3,100
140,71,33333.3,100
120,71,33333.3,100
100,71,33333.3,100
90,71,33333.3,100
80,71,33333.3,100
70,71,33333.3,100
60,71,40000,100
55,71,40000,100
50,71,40000,100
45,71,33333.3,100
40,71,40000,100
35,71,40000,100
30,70,50000,100
25,70,50000,100
20,69,50000,100
15,68,66666.7,100
10,66,66666.7,99.95
