ef,recall,qps
2000,1.0000,28.4
1900,1.0000,29.1
1800,1.0000,29.7
1700,1.0000,30.2
1600,1.0000,30.6
1500,1.0000,32.0
1400,1.0000,32.5
1300,1.0000,32.4
1200,1.0000,33.7
1100,1.0000,33.6
1000,1.0000,35.0
900,1.0000,35.7
800,1.0000,35.7
700,1.0000,36.5
600,1.0000,38.0
500,1.0000,38.5
400,1.0000,38.0
300,1.0000,38.0
250,1.0000,38.8
200,1.0000,37.8
180,1.0000,38.5
160,1.0000,38.7
140,1.0000,38.6
120,1.0000,38.9
100,1.0000,38.5
90,0.9999,37.5
80,1.0000,37.8
70,1.0000,38.8
60,0.9997,37.8
55,0.9995,38.3
50,0.9996,38.5
45,0.9996,38.5
40,0.9993,38.3
35,0.9988,38.8
30,0.9983,38.8
25,0.9983,38.5
20,0.9975,38.2
15,0.9960,38.5
10,0.9942,38.7
