nprobe,recall,qps
1,0.2162,57.0
2,0.3262,56.2
3,0.3969,58.6
5,0.4954,57.0
10,0.6392,56.3
20,0.7676,55.3
30,0.8301,55.7
50,0.8903,54.3
100,0.9463,52.9
200,0.9773,50.7
500,0.9945,43.0
1000,1.0000,39.9
