ef,recall,qps,dist_comp
1700,0.013,140.836,1568.67
1400,0.0129,183.25,1436.06
1100,0.0129,254.61,1277.03
1000,0.0129,289.822,1215.94
900,0.0129,335.275,1149.79
800,0.0129,394.535,1079.15
700,0.0129,473.525,1001.69
600,0.0129,581.656,917.8
500,0.0129,746.265,822.985
400,0.0128,1007.86,716.508
300,0.0128,1473.03,595.218
250,0.0127,1871.03,526.854
200,0.0126,2478.98,452.379
180,0.0126,2810.22,420.653
160,0.0126,3245.27,386.361
140,0.0126,3807.76,350.923
120,0.0121,4579.21,313.085
100,0.0119,4694.91,275.545
90,0.0119,6149.13,256.634
80,0.0119,6935.05,235.537
70,0.0118,7917.75,214.598
60,0.0118,9034.38,192.074
55,0.0115,9742.89,181.086
50,0.0115,10637.4,168.916
45,0.0112,11800.2,155.946
40,0.0109,12934.7,143.943
35,0.0107,14252.2,130.769
30,0.0106,15739.5,117.889
25,0.0106,17579.5,104.94
20,0.0104,20157.3,89.889
15,0.0094,22971.5,76.215
10,0.0076,27343.7,58.58
