ef,recall,qps,dist_comp
1700,0.0027,5.52883,29229
1400,0.0027,7.56669,25200.3
1100,0.0027,11.1898,20907.3
1000,0.0027,13.0521,19410.4
900,0.0028,15.4735,17869.9
800,0.0028,18.6903,16289.2
700,0.0028,23.1723,14651.4
600,0.0028,29.651,12965.8
500,0.0028,39.5571,11212.2
400,0.0028,56.3197,9372.24
300,0.0029,87.6447,7436.33
250,0.0028,116.333,6413.73
200,0.0028,161.558,5364.28
180,0.0028,187.552,4934.29
160,0.0028,222.115,4494.1
140,0.0029,270.199,4036.8
120,0.0028,332.997,3578.28
100,0.0028,426.171,3100.94
90,0.0028,488.345,2854.98
80,0.0028,565.16,2613.95
70,0.0029,668.46,2361
60,0.0029,800.327,2110.51
55,0.0027,886.371,1979.65
50,0.0026,997.059,1840.66
45,0.0027,1117.38,1709.46
40,0.0027,1271.6,1579.9
35,0.0026,1459.18,1443.36
30,0.0021,1710.65,1299.57
25,0.0021,2037.15,1158.05
20,0.0023,2502.31,1008.42
15,0.0024,3189.86,858.891
10,0.0026,4390.61,687.215
