efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.0029,20614.7,22.7952,0.337
1400,0.0029,23969.2,22.7988,0.337
1100,0.0029,27706.9,22.8017,0.337
1000,0.0029,26952.7,22.8012,0.337
900,0.0029,23431.3,22.7983,0.337
800,0.0029,27013.1,22.8012,0.337
700,0.0029,27443,22.8015,0.337
600,0.0029,26211,22.8006,0.337
500,0.0029,28173.9,22.802,0.337
400,0.0029,27739.9,22.8017,0.337
300,0.0029,28243.1,22.8021,0.337
250,0.0029,26138.9,22.8006,0.337
200,0.0029,23760.8,22.7986,0.337
180,0.0029,28744.8,22.8024,0.337
160,0.0029,28784.3,22.8024,0.337
140,0.0029,26973.7,22.8012,0.334
120,0.0029,28696.1,22.8023,0.333
100,0.0029,28220.7,22.802,0.315
90,0.0029,29017.5,22.8025,0.314
80,0.0029,29415.1,22.8028,0.31
70,0.0029,23271.4,22.7981,0.306
60,0.0029,29728.3,22.803,0.299
55,0.0029,29482.7,22.8028,0.297
50,0.0029,29852.7,22.803,0.289
45,0.0029,29989.5,22.8031,0.286
40,0.0029,29689.6,22.803,0.273
35,0.0029,27737,22.8017,0.271
30,0.0029,26139.7,22.8006,0.263
25,0.0029,25940.4,22.8004,0.256
20,0.0029,27550.6,22.8016,0.245
15,0.0026,29146.7,22.8026,0.22
10,0.0022,25939.8,22.8004,0.194
