efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.5315,77.0731,7.59686,5701.63
1400,0.5223,93.2774,7.72921,4953.54
1100,0.5112,113.364,7.84438,4142.83
1000,0.5068,129.164,7.91134,3858.56
900,0.502,139.841,7.94851,3561.84
800,0.495,164.198,8.0161,3257.54
700,0.4866,191.514,8.07231,2940.29
600,0.4758,220.231,8.11692,2604.03
500,0.4621,246.504,8.14894,2255.3
400,0.4431,305.056,8.20097,1886.41
300,0.4203,391.137,8.24978,1494.72
250,0.4069,478.367,8.28163,1287.22
200,0.3843,574.868,8.30577,1070.68
180,0.374,648.585,8.31943,981.339
160,0.363,730.31,8.33139,891.541
140,0.3492,796.121,8.33926,799.467
120,0.3317,916.798,8.35077,704.19
100,0.3141,1119.99,8.36459,606.775
90,0.3005,1245.25,8.37088,557.069
80,0.2858,1378.05,8.37631,506.438
70,0.2704,1543.87,8.38178,453.988
60,0.2472,1714.23,8.3863,400.142
55,0.2387,1866.04,8.38964,372.872
50,0.2274,2105.71,8.39394,345.201
45,0.2172,2312.31,8.39693,317.392
40,0.2004,2497.48,8.39919,289.37
35,0.1826,2764.4,8.40192,260.012
30,0.1635,3179.4,8.40525,230.532
25,0.1436,3739.59,8.40858,199.592
20,0.118,4482.17,8.41172,167.624
15,0.0925,5604.62,8.41488,134.57
10,0.059,7468.98,8.41803,98.635
