ef,recall,qps,dist_comp
1700,0.4891,13.8146,13378.3
1400,0.4846,18.7734,11831.4
1100,0.4759,27.088,10123.2
1000,0.4727,31.3528,9503.95
900,0.4681,36.7286,8859.87
800,0.4633,44.0394,8176.3
700,0.4574,53.9531,7458.62
600,0.4509,68.1079,6698.61
500,0.4444,89.3791,5894.67
400,0.4341,124.183,5030.7
300,0.4208,189.317,4085.53
250,0.4101,245.432,3575.94
200,0.3969,335.109,3039.87
180,0.3924,385.199,2817.59
160,0.3867,449.931,2586.95
140,0.3807,539.146,2344.74
120,0.3729,660.93,2097.95
100,0.3628,830.199,1842.11
90,0.3582,942.303,1708.1
80,0.353,1082.08,1572.78
70,0.3452,1240.49,1436.91
60,0.3386,1479.31,1294.91
55,0.3331,1624.23,1223.43
50,0.3279,1801.11,1146.68
45,0.3241,2002.13,1071
40,0.3172,2206.38,995.062
35,0.311,2516.53,913.591
30,0.3021,2923.93,831.812
25,0.2933,3454.84,746.883
20,0.2823,4137.51,660.546
15,0.2642,5197.07,568.375
10,0.2399,6783.28,464.831
