efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9086,43.6383,3.56238,18543.7
1400,0.9013,54.0256,3.61918,15687.5
1100,0.8892,68.7441,3.67185,12744.1
1000,0.884,75.6183,3.68977,11731.8
900,0.8789,83.8007,3.70743,10708.2
800,0.8724,94.9805,3.72684,9667.16
700,0.865,108.755,3.74545,8605.57
600,0.8543,126.033,3.76322,7524.99
500,0.8425,150.267,3.78143,6426.31
400,0.8235,186.879,3.80016,5295.16
300,0.7966,246.889,3.81904,4128.77
250,0.7736,291.291,3.82806,3528.51
200,0.7433,359.726,3.83766,2912.69
180,0.7275,404.445,3.84219,2661.42
160,0.713,444.386,3.84547,2405.96
140,0.6947,508.831,3.84969,2148.5
120,0.6737,587.644,3.8536,1887.38
100,0.6451,699.849,3.85766,1620.93
90,0.6255,761.757,3.85939,1486.14
80,0.6071,851.465,3.86145,1348.8
70,0.583,955.755,3.86336,1210.69
60,0.556,1093.84,3.86533,1067.38
55,0.5393,1193.09,3.86647,996.676
50,0.5201,1285.48,3.86737,924.23
45,0.4956,1404.1,3.86835,850.82
40,0.4627,1565.15,3.86945,777.055
35,0.4278,1758.57,3.8705,702.593
30,0.389,1994.2,3.87151,624.589
25,0.3467,2352.99,3.87266,545.38
20,0.298,2833.06,3.87374,464.839
15,0.2353,3613.45,3.87488,380.122
10,0.1548,4963.2,3.87601,290.566
