L,Cmps,QPS,Recall
1700,7453.00,129.15,95.77
1400,7118.00,131.28,95.25
1100,6609.00,136.97,94.55
1000,6470.00,138.15,94.38
900,6323.00,139.12,94.06
800,6167.00,141.73,93.74
700,6000.00,143.04,93.47
600,5795.00,142.42,92.63
500,5603.00,144.14,92.25
400,5389.00,146.80,91.33
300,5155.00,149.83,90.10
250,5024.00,151.67,89.38
200,4891.00,149.28,88.40
180,4836.00,153.48,88.17
160,4776.00,154.43,87.25
140,4713.00,154.39,86.58
120,4648.00,154.88,85.94
100,4580.00,153.27,84.88
90,4545.00,150.41,84.21
80,4505.00,150.34,83.43
70,4468.00,152.93,82.60
60,4427.00,152.83,82.02
55,4406.00,152.77,81.46
50,4385.00,152.32,80.95
45,4363.00,155.49,80.14
40,4342.00,157.58,79.59
35,4318.00,157.20,78.75
30,4296.00,152.73,78.28
25,4270.00,154.01,76.63
20,4244.00,156.27,75.43
15,4214.00,158.48,73.44
10,4186.00,157.02,70.95
