L,Cmps,QPS,Recall
1700,92200.00,11.92,37.68
1400,89315.00,12.03,36.68
1100,85673.00,12.25,35.26
1000,85024.00,12.26,34.83
900,84053.00,12.31,34.52
800,83014.00,12.39,33.56
700,81703.00,12.49,33.26
600,80089.00,12.57,32.54
500,79159.00,12.73,32.02
400,78085.00,12.67,31.39
300,77106.00,12.78,30.45
250,76553.00,12.83,30.28
200,75875.00,12.84,30.00
180,75652.00,12.84,29.60
160,75274.00,12.90,29.43
140,74974.00,12.90,28.70
120,74678.00,12.85,28.30
100,74294.00,12.98,28.11
90,74257.00,12.92,28.20
80,73976.00,13.01,27.98
70,73785.00,13.03,27.43
60,73367.00,12.99,26.98
55,73337.00,13.09,27.16
50,72981.00,13.25,26.68
45,72856.00,13.29,26.42
40,72703.00,13.33,26.49
35,72564.00,13.44,26.26
30,72214.00,13.54,25.74
25,71543.00,13.69,25.78
20,71050.00,13.79,25.31
15,70072.00,13.97,25.08
10,68187.00,14.29,24.79
