ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_overlap/tripclick_overlap_Q3_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_overlap/Q3_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,44.5335,34363.4
1400,1,51.573,30254.5
1100,1,61.2557,25741
1000,1,65.6814,24124.3
900,1,70.8215,22436.5
800,1,77.4293,20670.8
700,1,85.1426,18821.1
600,0.999,95.2381,16858.8
500,0.9985,109.469,14792.3
400,0.9985,129.282,12552.4
300,0.9975,161.421,10132.7
250,0.997,185.701,8825.03
200,0.9945,222.222,7443.38
180,0.994,241.546,6861.6
160,0.9925,264.901,6271.44
140,0.9915,291.545,5653.82
120,0.989,331.126,5011.44
100,0.984,382.409,4353.24
90,0.9815,416.667,4008.59
80,0.978,456.621,3658.1
70,0.9755,507.614,3298.28
60,0.9715,573.066,2927.45
55,0.9665,602.41,2740.2
50,0.963,660.066,2549.03
45,0.9565,716.846,2357.66
40,0.947,784.314,2160.61
35,0.932,865.801,1961.19
30,0.9155,970.874,1755.04
25,0.902,1104.97,1553.01
20,0.881,1282.05,1349.1
15,0.8435,1538.46,1134.74
10,0.7765,1960.78,901.77
