ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_overlap/tripclick_overlap_Q5_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_overlap/Q5_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,23.0441,59541.5
1400,1,27.3187,52369.6
1100,0.9995,35.6888,44493.6
1000,0.9995,38.373,41685.2
900,0.9995,41.5282,38762.9
800,0.9995,45.0349,35701.1
700,0.9995,49.7884,32495.8
600,0.9995,55.8347,29111.2
500,0.9995,63.8774,25521.3
400,0.999,75.4717,21666.4
300,0.9985,94.3396,17476.2
250,0.9965,108.696,15224
200,0.9965,129.116,12835.8
180,0.9965,140.845,11834.4
160,0.996,153.728,10806.2
140,0.994,171.38,9741.68
120,0.9905,193.611,8646.72
100,0.988,221.484,7508.9
90,0.9865,242.718,6918.44
80,0.9825,266.667,6317.68
70,0.978,295.858,5702.61
60,0.9735,332.226,5069.76
55,0.9695,353.982,4744.19
50,0.966,383.877,4414.68
45,0.962,415.8,4081.8
40,0.956,452.489,3750.89
35,0.948,501.253,3403.58
30,0.941,561.798,3050.48
25,0.924,638.978,2694.76
20,0.903,740.741,2338.26
15,0.8715,881.057,1976.67
10,0.819,1111.11,1597.63
