ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_overlap/tripclick_overlap_Q2_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_overlap/Q2_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,54.8697,27247.5
1400,1,57.7868,24027.3
1100,1,69.3722,20477.8
1000,1,74.239,19206.7
900,1,84.0689,17888.2
800,1,96.6651,16499
700,0.9995,107.239,15041
600,0.9995,119.546,13501
500,0.9995,137.174,11853.6
400,0.9995,161.681,10084.9
300,0.9985,201.816,8157.59
250,0.9985,231.75,7121.1
200,0.9965,275.482,6018.81
180,0.9955,296.736,5554.43
160,0.9945,327.332,5078.04
140,0.992,363.636,4582.24
120,0.989,408.163,4072.93
100,0.985,469.484,3544.22
90,0.981,510.204,3266.95
80,0.976,552.486,2985.64
70,0.973,621.118,2694.16
60,0.967,699.301,2399.98
55,0.961,749.064,2248.11
50,0.956,806.452,2088.66
45,0.949,873.362,1930.39
40,0.94,952.381,1772.05
35,0.935,1052.63,1614.69
30,0.9265,1176.47,1449.94
25,0.911,1324.5,1287.1
20,0.8835,1550.39,1112.81
15,0.8445,1851.85,935.825
10,0.7735,2352.94,747.905
