ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_overlap/tripclick_overlap_Q4_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_overlap/Q4_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,34.2407,44895.7
1400,1,39.5335,39505.2
1100,1,46.9043,33568.1
1000,1,50.3778,31440.8
900,1,54.3922,29221.6
800,1,59.2066,26906.6
700,1,65.3595,24482.3
600,0.9995,73.2332,21928.7
500,0.9995,84.0336,19211.8
400,0.999,99.7009,16312.2
300,0.997,123.839,13157.9
250,0.9965,143.164,11453.9
200,0.9955,169.635,9650.52
180,0.9935,185.185,8898.41
160,0.9915,202.634,8120.15
140,0.988,224.467,7323.56
120,0.986,255.102,6494.44
100,0.983,294.985,5631.3
90,0.9815,320,5190.65
80,0.9785,350.263,4738.75
70,0.976,389.864,4271.32
60,0.9705,439.56,3800.14
55,0.964,468.384,3557.02
50,0.9605,505.051,3314.69
45,0.955,547.945,3062.14
40,0.9475,595.238,2803.65
35,0.9385,660.066,2554.47
30,0.925,738.007,2294.59
25,0.9065,836.82,2029.36
20,0.8825,952.381,1753.78
15,0.853,1169.59,1475.39
10,0.804,1470.59,1188.84
