L,Cmps,QPS,Recall
1700,43481,40.6091,58.5
1400,38233,46.1361,55.5
1100,32299,56.5771,54
1000,30305,54.7945,51.25
900,28196,60.5144,50
800,26020,65.7895,46.75
700,23878,72.0721,46.5
600,21257,81.1359,45.5
500,18475,94.1176,43.75
400,15715,109.89,42
300,12587,140.351,38.25
250,10888,165.975,34.75
200,9266,192.308,31.75
180,8628,206.186,29.5
160,7963,219.78,27.5
140,7146,258.065,26.5
120,6360,294.118,25.5
100,5612,325.203,23.5
90,5177,366.972,21
80,4662,392.157,19.5
70,4261,430.108,19.25
60,3767,493.827,18
55,3506,555.556,17.5
50,3291,571.429,17.25
45,3021,625,16.5
40,2808,666.667,16.75
35,2575,727.273,16.5
30,2298,851.064,15.5
25,2037,952.381,12.25
20,1726,1142.86,12.25
15,1463,1333.33,11.5
10,1086,1818.18,10.5
