L,Cmps,QPS,Recall
1700,881,2531.65,95.85
1400,866,2739.73,95.8
1100,829,2941.18,95.5
1000,811,3030.3,95.4
900,791,3174.6,95.35
800,769,3333.33,95.2
700,743,3508.77,94.95
600,712,3773.58,94.7
500,672,4081.63,94.45
400,622,4651.16,93.8
300,556,5555.56,93.2
250,516,6250,92.45
200,467,7142.86,91.85
180,446,7692.31,91.6
160,425,8333.33,91.2
140,400,9090.91,90.8
120,375,10000,90.65
100,347,11111.1,90.15
90,331,11764.7,89.85
80,313,12500,89.6
70,294,14285.7,89.3
60,274,15384.6,88.8
55,264,16666.7,88.7
50,253,16666.7,88.4
45,239,18181.8,88.1
40,226,20000,88
35,212,20000,87.75
30,196,22222.2,87.55
25,179,25000,87.2
20,162,28571.4,86.75
15,140,28571.4,85.85
10,116,33333.3,85.25
