nprobe,recall@10,qps
10,0.4399,638.1170841481359
15,0.5193,532.939680779295
20,0.5769,457.97894033289055
30,0.6536,358.3904723577801
50,0.743,251.63662567940943
70,0.8078,195.09042761465105
100,0.8622,145.92330521302796
150,0.9123,103.4132393006502
200,0.9388,80.2489822004438
300,0.9691,55.718757346620514
400,0.9832,42.864635712399995
500,0.9898,34.887110757055844
700,0.9958,25.567577463958827
1000,0.9982,18.408298599879874
