efSearch,recall@10,qps
1700,0.133,135.4473344873854
1400,0.1322,158.83236824040696
1100,0.1321,194.47084094983492
1000,0.1305,210.4760190686246
900,0.1299,229.622209401676
800,0.1289,254.03219634504524
700,0.1269,284.1876149044761
600,0.1254,323.63354021969377
500,0.1235,378.58538120956786
400,0.1204,458.21556000454376
300,0.118,588.2217874870984
250,0.1133,692.4197557024208
200,0.1073,849.4108949141364
180,0.1043,938.7632032238623
160,0.0995,1054.0438967185012
140,0.0948,1202.3590520778932
120,0.0869,1400.3369114976515
100,0.0771,1682.9684375212357
90,0.0723,1858.618845331806
80,0.0671,2084.5177298964504
70,0.0633,2318.549391566818
60,0.0579,2708.258152560239
55,0.0543,2909.9414923589293
50,0.051,3171.5146530045668
45,0.0476,3477.3659234775932
40,0.0448,3841.0285396558625
35,0.0414,4270.235297364022
30,0.0368,4845.816018214242
25,0.0334,5559.3080903397085
20,0.029,6561.311297839984
15,0.0243,7961.5482061854855
10,0.0198,10090.588154367026
