efSearch,recall@10,qps
1700,0.9874,135.4473344873854
1400,0.9872,158.83236824040696
1100,0.9865,194.47084094983492
1000,0.9864,210.4760190686246
900,0.986,229.622209401676
800,0.9856,254.03219634504524
700,0.9852,284.1876149044761
600,0.9838,323.63354021969377
500,0.9824,378.58538120956786
400,0.9804,458.21556000454376
300,0.9771,588.2217874870984
250,0.9731,692.4197557024208
200,0.9681,849.4108949141364
180,0.9655,938.7632032238623
160,0.9591,1054.0438967185012
140,0.9552,1202.3590520778932
120,0.9498,1400.3369114976515
100,0.9436,1682.9684375212357
90,0.9382,1858.618845331806
80,0.9308,2084.5177298964504
70,0.9218,2318.549391566818
60,0.9097,2708.258152560239
55,0.9027,2909.9414923589293
50,0.8958,3171.5146530045668
45,0.8867,3477.3659234775932
40,0.8734,3841.0285396558625
35,0.8595,4270.235297364022
30,0.8386,4845.816018214242
25,0.8189,5559.3080903397085
20,0.7858,6561.311297839984
15,0.7417,7961.5482061854855
10,0.6768,10090.588154367026
