nprobe,recall@10,qps
10,0.6801,1311.394222035165
15,0.7375,1081.8906241813338
20,0.7725,919.9728531358113
30,0.8079,709.5806603228733
50,0.8395,479.3861551565433
70,0.8514,355.5311084120803
100,0.8603,244.09305188823353
150,0.8673,145.78593680041365
200,0.8707,98.40408505862217
300,0.8761,60.818693680739564
400,0.8784,49.52246772697399
500,0.8789,43.67346846227021
700,0.8797,35.39389648729718
1000,0.8797,27.632690810303497
