efSearch,recall@10,qps
1700,0.9911,85.70182188512607
1400,0.9884,100.24781441183707
1100,0.9844,121.66039017204524
1000,0.9819,131.26475870889325
900,0.9786,142.63780285898173
800,0.9741,156.26140896268578
700,0.97,173.83047358047014
600,0.9633,196.24237063308917
500,0.953,226.19874862126971
400,0.9371,269.097431080574
300,0.9126,336.3114550074415
250,0.8936,387.84184269229047
200,0.8659,463.5992084544312
180,0.8515,504.6908526661799
160,0.8342,556.0702838580703
140,0.8156,621.0922853075908
120,0.79,706.9290730446545
100,0.7583,824.6022339168464
90,0.7389,897.8257901262025
80,0.715,984.9263968470386
70,0.6888,1087.9922075555537
60,0.6566,1215.6479172335492
55,0.6377,1297.7156701980025
50,0.6191,1386.7732757369686
45,0.598,1487.8673331698408
40,0.5752,1609.7376534350976
35,0.5461,1751.2759415326848
30,0.5169,1930.7405821057976
25,0.4783,2140.449420041424
20,0.436,2417.57772784983
15,0.3808,2829.891615291106
10,0.3213,3400.229251178853
