nprobe,recall@10,qps
10,0.4196,2357.574147721351
15,0.463,2062.9348104403593
20,0.4943,1798.1575264479973
30,0.5346,1499.7383226523095
50,0.5814,1165.4048117423613
70,0.6057,973.299862871146
100,0.6267,790.3574419051829
150,0.6427,607.2003122159279
200,0.6513,495.6560932963431
300,0.6577,362.5549334529191
400,0.6611,288.0001037028209
500,0.6609,239.23438348285822
700,0.6634,178.9933125515064
1000,0.664,130.0921384225757
