efSearch,recall@10,qps
1700,0.9896,107.07067496625727
1400,0.9892,125.16697267786485
1100,0.9884,152.96800032589647
1000,0.9878,164.81544386152012
900,0.9874,180.1209286713614
800,0.9872,198.09671112842858
700,0.9867,222.63883405201318
600,0.9855,253.6920208205567
500,0.9845,296.990715412127
400,0.9831,361.36369506015615
300,0.9809,466.06389928125793
250,0.9791,552.2413145943349
200,0.9771,682.0982673269261
180,0.9755,755.2982512535766
160,0.9733,849.7967661181024
140,0.9719,964.3056738291364
120,0.9688,1113.2950570678743
100,0.9628,1325.532943095809
90,0.9603,1451.0087267518497
80,0.9552,1613.5170546979232
70,0.9492,1799.0157970382004
60,0.9436,2048.2496627558075
55,0.9381,2200.863526217556
50,0.9316,2376.59061863142
45,0.9261,2574.422606101872
40,0.9174,2788.078900861703
35,0.9069,3095.1369486902113
30,0.8924,3454.2774297485894
25,0.8726,3891.288119226928
20,0.8415,4515.044123307696
15,0.8005,5353.879122447729
10,0.7285,6648.383348374687
