efSearch,recall@10,qps
1700,0.90803,178.42724495584812
1400,0.90738,216.49337554805052
1100,0.90654,259.4790090086699
1000,0.90591,278.45126612249885
900,0.90491,300.5148180560705
800,0.90374,327.38400543036425
700,0.90188,360.6429847921502
600,0.89884,401.37367898778126
500,0.89326,456.73633941807935
400,0.88558,534.3172451986024
300,0.87066,653.5929551927211
250,0.85845,745.7981069792442
200,0.8401,882.0827208136434
180,0.8299,957.089366557276
160,0.8172,1046.3238336672227
140,0.80181,1166.2115394712823
120,0.78244,1323.180091907372
100,0.75726,1532.5383397908038
90,0.74154,1658.0673732704815
80,0.72317,1799.7770111641928
70,0.70177,1984.317705402417
60,0.67714,2197.3862031400527
55,0.66241,2328.3010475216765
50,0.64642,2466.814251296671
45,0.62718,2635.1207069911416
40,0.60561,2828.8118570448432
35,0.58218,3059.994941031789
30,0.55398,3333.516363402687
25,0.52057,3656.583338892218
20,0.48143,4082.697443890889
15,0.43007,4645.783928046707
10,0.36443,5449.871377343775
