efSearch,recall@10,qps
1700,0.662,135.4473344873854
1400,0.6622,158.83236824040696
1100,0.6603,194.47084094983492
1000,0.6599,210.4760190686246
900,0.6574,229.622209401676
800,0.6567,254.03219634504524
700,0.6547,284.1876149044761
600,0.6504,323.63354021969377
500,0.644,378.58538120956786
400,0.6351,458.21556000454376
300,0.614,588.2217874870984
250,0.596,692.4197557024208
200,0.572,849.4108949141364
180,0.5604,938.7632032238623
160,0.5482,1054.0438967185012
140,0.5319,1202.3590520778932
120,0.5144,1400.3369114976515
100,0.4944,1682.9684375212357
90,0.4829,1858.618845331806
80,0.4684,2084.5177298964504
70,0.4531,2318.549391566818
60,0.4363,2708.258152560239
55,0.4263,2909.9414923589293
50,0.4169,3171.5146530045668
45,0.4063,3477.3659234775932
40,0.3955,3841.0285396558625
35,0.3821,4270.235297364022
30,0.3659,4845.816018214242
25,0.3507,5559.3080903397085
20,0.3346,6561.311297839984
15,0.3109,7961.5482061854855
10,0.2814,10090.588154367026
