nprobe,recall@10,qps
10,0.8165,1189.9799773303293
15,0.8628,1038.6218740765391
20,0.891,916.6510847690079
30,0.9222,750.7330121179085
50,0.9515,562.4270340714772
70,0.9647,454.9305002821749
100,0.9762,355.16593908740987
150,0.9854,261.7049710706351
200,0.9879,207.79335183270672
300,0.9924,147.74192572480692
400,0.9943,114.91573434948126
500,0.9955,94.01064778511493
700,0.997,69.09869172155805
1000,0.9979,49.52270784495169
