efSearch,recall@10,qps
1700,0.9283,85.70182188512607
1400,0.926,100.24781441183707
1100,0.924,121.66039017204524
1000,0.9228,131.26475870889325
900,0.9209,142.63780285898173
800,0.9188,156.26140896268578
700,0.9157,173.83047358047014
600,0.9122,196.24237063308917
500,0.9069,226.19874862126971
400,0.8954,269.097431080574
300,0.8788,336.3114550074415
250,0.8659,387.84184269229047
200,0.8496,463.5992084544312
180,0.8392,504.6908526661799
160,0.8279,556.0702838580703
140,0.8115,621.0922853075908
120,0.7936,706.9290730446545
100,0.7725,824.6022339168464
90,0.758,897.8257901262025
80,0.7426,984.9263968470386
70,0.7261,1087.9922075555537
60,0.7019,1215.6479172335492
55,0.6891,1297.7156701980025
50,0.6762,1386.7732757369686
45,0.6607,1487.8673331698408
40,0.6441,1609.7376534350976
35,0.6232,1751.2759415326848
30,0.5999,1930.7405821057976
25,0.5727,2140.449420041424
20,0.5371,2417.57772784983
15,0.4912,2829.891615291106
10,0.4304,3400.229251178853
