efSearch,recall@10,qps
1700,0.8365,136.10407592522228
1400,0.8332,157.3073723736575
1100,0.8306,189.46480963912873
1000,0.8293,203.74981190763458
900,0.8265,220.67626864233068
800,0.824,242.07073458956788
700,0.822,268.1299064786864
600,0.817,302.68597590241194
500,0.8106,349.7093474577995
400,0.8001,416.7341704713085
300,0.7878,523.0322951018406
250,0.7758,606.014749496537
200,0.7594,733.0929989542519
180,0.7476,802.3928916219376
160,0.7379,890.4773810474427
140,0.7195,1011.9812160549257
120,0.6967,1165.9070357567973
100,0.6712,1394.2258459120756
90,0.6537,1542.2169720838842
80,0.6357,1714.0417051791057
70,0.6106,1928.6977566222536
60,0.5851,2222.985061500134
55,0.5686,2396.2776547611024
50,0.5544,2581.387068110468
45,0.5375,2788.8039959919006
40,0.5201,3015.05947399272
35,0.4944,3371.8311026027795
30,0.4735,3660.653484585198
25,0.4389,4169.94095707
20,0.4004,4840.880850591553
15,0.3472,5722.367199510245
10,0.2863,6981.151191185953
