efSearch,recall@10,qps
1700,0.3495,86.01852883887112
1400,0.34,104.81804783346145
1100,0.319,129.1799973116122
1000,0.3135,138.8383608855849
900,0.3105,150.4083229877366
800,0.304,167.24359197641365
700,0.298,186.85343899182521
600,0.286,205.79022469109893
500,0.271,244.70718666172934
400,0.2515,285.722540221972
300,0.234,360.0809900497429
250,0.2155,421.3350759675489
200,0.198,500.00416883832895
180,0.185,542.4552683610483
160,0.1795,589.8826994762096
140,0.172,650.1293797401786
120,0.1615,699.230954645006
100,0.1425,838.377220294123
90,0.1335,913.1933305286869
80,0.1285,1002.4562634724558
70,0.12,1111.4314872061623
60,0.1095,1220.7232494713428
55,0.099,1257.6905339403959
50,0.0965,1370.362369698714
45,0.0895,1488.4476039793467
40,0.0805,1594.96500213736
35,0.074,1759.7669002799428
30,0.068,1937.7831512655553
25,0.0625,2112.6518797908084
20,0.0535,2438.3857727219647
15,0.0455,2778.433642904735
10,0.033,3446.1735179150555
