nprobe,recall@10,qps
10,0.0668,2357.574147721351
15,0.0896,2062.9348104403593
20,0.1037,1798.1575264479973
30,0.1141,1499.7383226523095
50,0.1247,1165.4048117423613
70,0.1273,973.299862871146
100,0.1285,790.3574419051829
150,0.1304,607.2003122159279
200,0.1313,495.6560932963431
300,0.1314,362.5549334529191
400,0.1323,288.0001037028209
500,0.1331,239.23438348285822
700,0.1329,178.9933125515064
1000,0.1337,130.0921384225757
