efSearch,recall@10,qps
1700,0.4443,107.07067496625727
1400,0.444,125.16697267786485
1100,0.4426,152.96800032589647
1000,0.4418,164.81544386152012
900,0.441,180.1209286713614
800,0.4403,198.09671112842858
700,0.4371,222.63883405201318
600,0.4325,253.6920208205567
500,0.4266,296.990715412127
400,0.4157,361.36369506015615
300,0.3992,466.06389928125793
250,0.3878,552.2413145943349
200,0.3639,682.0982673269261
180,0.3537,755.2982512535766
160,0.3406,849.7967661181024
140,0.327,964.3056738291364
120,0.3132,1113.2950570678743
100,0.2909,1325.532943095809
90,0.2776,1451.0087267518497
80,0.2649,1613.5170546979232
70,0.2519,1799.0157970382004
60,0.2393,2048.2496627558075
55,0.2318,2200.863526217556
50,0.2231,2376.59061863142
45,0.2131,2574.422606101872
40,0.2031,2788.078900861703
35,0.1928,3095.1369486902113
30,0.1807,3454.2774297485894
25,0.165,3891.288119226928
20,0.1481,4515.044123307696
15,0.1262,5353.879122447729
10,0.1035,6648.383348374687
