nprobe,recall@10,qps
10,0.7651,2357.574147721351
15,0.8199,2062.9348104403593
20,0.8512,1798.1575264479973
30,0.8947,1499.7383226523095
50,0.9352,1165.4048117423613
70,0.9532,973.299862871146
100,0.967,790.3574419051829
150,0.9761,607.2003122159279
200,0.9816,495.6560932963431
300,0.9858,362.5549334529191
400,0.9883,288.0001037028209
500,0.9891,239.23438348285822
700,0.9896,178.9933125515064
1000,0.9897,130.0921384225757
