efSearch,recall@10,qps
1700,0.8605,114.08108755983766
1400,0.8541,134.82285035943428
1100,0.8448,163.8648410235773
1000,0.8405,177.1599141054636
900,0.8379,192.8262323056812
800,0.8331,211.46306905061667
700,0.8272,234.0913139517173
600,0.8189,264.4178859719144
500,0.8088,304.81115007414536
400,0.7915,360.2302163863498
300,0.7688,448.7889655751823
250,0.7538,517.4215587832126
200,0.7291,618.0817480263878
180,0.7163,669.1084615740053
160,0.7027,739.2189533886562
140,0.686,820.5538653602933
120,0.668,939.270416429687
100,0.6434,1089.0774538909768
90,0.6289,1186.8610428317331
80,0.6125,1295.9105234393985
70,0.5944,1433.1129225467903
60,0.5727,1589.1409725809485
55,0.5612,1688.6119349395672
50,0.5495,1792.3529079224434
45,0.535,1925.939891882467
40,0.5202,2063.632708894041
35,0.502,2248.044833663213
30,0.4803,2450.5786292334983
25,0.4553,2693.765378770533
20,0.4314,2964.6278274909932
15,0.3988,3481.491766738799
10,0.3554,4104.79864507163
