efSearch,recall@10,qps
1700,0.4816,136.10407592522228
1400,0.4797,157.3073723736575
1100,0.4783,189.46480963912873
1000,0.4785,203.74981190763458
900,0.4777,220.67626864233068
800,0.4766,242.07073458956788
700,0.475,268.1299064786864
600,0.4711,302.68597590241194
500,0.4669,349.7093474577995
400,0.4596,416.7341704713085
300,0.4491,523.0322951018406
250,0.4381,606.014749496537
200,0.4256,733.0929989542519
180,0.4164,802.3928916219376
160,0.4068,890.4773810474427
140,0.3918,1011.9812160549257
120,0.3751,1165.9070357567973
100,0.3565,1394.2258459120756
90,0.3461,1542.2169720838842
80,0.3339,1714.0417051791057
70,0.3182,1928.6977566222536
60,0.3001,2222.985061500134
55,0.2876,2396.2776547611024
50,0.2781,2581.387068110468
45,0.2685,2788.8039959919006
40,0.2566,3015.05947399272
35,0.2436,3371.8311026027795
30,0.2284,3660.653484585198
25,0.2109,4169.94095707
20,0.1922,4840.880850591553
15,0.1689,5722.367199510245
10,0.142,6981.151191185953
