nprobe,recall@10,qps
10,0.4295,754.2656109453244
15,0.5032,642.8623560449438
20,0.5592,556.5512449082263
30,0.6375,442.6474527723044
50,0.7338,321.90105575072386
70,0.7893,254.77219414813146
100,0.8459,194.8362329490525
150,0.8949,140.3274123817011
200,0.9241,110.21078925469772
300,0.9538,77.2903300118223
400,0.969,59.73679583151906
500,0.9782,48.77426052621791
700,0.9882,35.76119916221313
1000,0.9931,25.65266899744602
