nprobe,recall@10,qps
10,0.31728,2744.923761652092
15,0.38594,2332.783273445928
20,0.43693,2042.0874993300115
30,0.50947,1661.2898740219453
50,0.59326,1284.4603137186687
70,0.64021,1072.7283070504955
100,0.6818,873.6043878992328
150,0.71855,674.0905639669052
200,0.73781,553.7218563766451
300,0.75658,412.3871871575919
400,0.76517,330.27307599798365
500,0.76931,276.3770797825691
700,0.77293,209.07934686813326
1000,0.77491,153.68003505306694
