efSearch,recall@10,qps
1700,0.258,86.01852883887112
1400,0.252,104.81804783346145
1100,0.2405,129.1799973116122
1000,0.2375,138.8383608855849
900,0.2335,150.4083229877366
800,0.2285,167.24359197641365
700,0.226,186.85343899182521
600,0.2225,205.79022469109893
500,0.212,244.70718666172934
400,0.2,285.722540221972
300,0.185,360.0809900497429
250,0.177,421.3350759675489
200,0.1645,500.00416883832895
180,0.1575,542.4552683610483
160,0.1455,589.8826994762096
140,0.1345,650.1293797401786
120,0.127,699.230954645006
100,0.1165,838.377220294123
90,0.1125,913.1933305286869
80,0.106,1002.4562634724558
70,0.0985,1111.4314872061623
60,0.095,1220.7232494713428
55,0.0905,1257.6905339403959
50,0.086,1370.362369698714
45,0.0775,1488.4476039793467
40,0.0705,1594.96500213736
35,0.0665,1759.7669002799428
30,0.0625,1937.7831512655553
25,0.0555,2112.6518797908084
20,0.0435,2438.3857727219647
15,0.036,2778.433642904735
10,0.0275,3446.1735179150555
