efSearch,recall@10,qps
1700,0.46,86.01852883887112
1400,0.4445,104.81804783346145
1100,0.427,129.1799973116122
1000,0.421,138.8383608855849
900,0.407,150.4083229877366
800,0.3965,167.24359197641365
700,0.3875,186.85343899182521
600,0.371,205.79022469109893
500,0.357,244.70718666172934
400,0.3435,285.722540221972
300,0.3105,360.0809900497429
250,0.292,421.3350759675489
200,0.275,500.00416883832895
180,0.2615,542.4552683610483
160,0.2545,589.8826994762096
140,0.2385,650.1293797401786
120,0.2255,699.230954645006
100,0.196,838.377220294123
90,0.1835,913.1933305286869
80,0.173,1002.4562634724558
70,0.159,1111.4314872061623
60,0.147,1220.7232494713428
55,0.1385,1257.6905339403959
50,0.132,1370.362369698714
45,0.1195,1488.4476039793467
40,0.1105,1594.96500213736
35,0.1035,1759.7669002799428
30,0.092,1937.7831512655553
25,0.0785,2112.6518797908084
20,0.0655,2438.3857727219647
15,0.0575,2778.433642904735
10,0.0485,3446.1735179150555
