efSearch,recall@10,qps
1700,0.9826,64.48016091683395
1400,0.9806,74.96442398917505
1100,0.9748,90.58272954417227
1000,0.9715,97.65685154372316
900,0.967,106.0663237500693
800,0.9637,116.4192401154988
700,0.9583,129.73951898868438
600,0.9521,146.8466223212581
500,0.9425,170.7894660541715
400,0.9294,205.07623864258161
300,0.9121,260.54603082453883
250,0.8975,303.9601293100808
200,0.8759,369.44929360322357
180,0.8624,405.89336465823743
160,0.8481,452.36949761544696
140,0.8326,510.01822371450567
120,0.8145,590.051002900971
100,0.7886,700.9557809098258
90,0.7736,771.9585459011778
80,0.7559,860.7447216310344
70,0.734,966.4164943403555
60,0.7087,1099.5855703137343
55,0.693,1179.6208252520205
50,0.6772,1278.045095715554
45,0.6569,1387.1619744179197
40,0.6349,1526.326465825646
35,0.6123,1689.7448926562242
30,0.5852,1883.447322300609
25,0.5533,2142.449679674248
20,0.5112,2488.712054001854
15,0.4534,2994.1316695168534
10,0.3786,3871.2113039080705
