efSearch,recall@10,qps
1700,0.6962,107.07067496625727
1400,0.6944,125.16697267786485
1100,0.6936,152.96800032589647
1000,0.6924,164.81544386152012
900,0.6916,180.1209286713614
800,0.69,198.09671112842858
700,0.6864,222.63883405201318
600,0.6813,253.6920208205567
500,0.6762,296.990715412127
400,0.6622,361.36369506015615
300,0.6442,466.06389928125793
250,0.6297,552.2413145943349
200,0.6103,682.0982673269261
180,0.6007,755.2982512535766
160,0.5883,849.7967661181024
140,0.5728,964.3056738291364
120,0.5559,1113.2950570678743
100,0.5352,1325.532943095809
90,0.5234,1451.0087267518497
80,0.51,1613.5170546979232
70,0.4942,1799.0157970382004
60,0.4758,2048.2496627558075
55,0.4663,2200.863526217556
50,0.4544,2376.59061863142
45,0.4409,2574.422606101872
40,0.4243,2788.078900861703
35,0.409,3095.1369486902113
30,0.3898,3454.2774297485894
25,0.3678,3891.288119226928
20,0.3396,4515.044123307696
15,0.3054,5353.879122447729
10,0.2585,6648.383348374687
