efSearch,recall@10,qps
1700,0.9107,85.70182188512607
1400,0.9069,100.24781441183707
1100,0.9007,121.66039017204524
1000,0.8971,131.26475870889325
900,0.8925,142.63780285898173
800,0.888,156.26140896268578
700,0.8818,173.83047358047014
600,0.8716,196.24237063308917
500,0.86,226.19874862126971
400,0.8414,269.097431080574
300,0.8125,336.3114550074415
250,0.7914,387.84184269229047
200,0.7619,463.5992084544312
180,0.7432,504.6908526661799
160,0.7261,556.0702838580703
140,0.7028,621.0922853075908
120,0.6738,706.9290730446545
100,0.6385,824.6022339168464
90,0.62,897.8257901262025
80,0.5983,984.9263968470386
70,0.5733,1087.9922075555537
60,0.5434,1215.6479172335492
55,0.5264,1297.7156701980025
50,0.5084,1386.7732757369686
45,0.4908,1487.8673331698408
40,0.469,1609.7376534350976
35,0.4443,1751.2759415326848
30,0.4185,1930.7405821057976
25,0.3834,2140.449420041424
20,0.3481,2417.57772784983
15,0.3069,2829.891615291106
10,0.2509,3400.229251178853
