efSearch,recall@10,qps
1700,0.8759,64.48016091683395
1400,0.8693,74.96442398917505
1100,0.8589,90.58272954417227
1000,0.8541,97.65685154372316
900,0.8494,106.0663237500693
800,0.8411,116.4192401154988
700,0.8314,129.73951898868438
600,0.8188,146.8466223212581
500,0.8047,170.7894660541715
400,0.7843,205.07623864258161
300,0.7515,260.54603082453883
250,0.7325,303.9601293100808
200,0.7038,369.44929360322357
180,0.6873,405.89336465823743
160,0.6691,452.36949761544696
140,0.6475,510.01822371450567
120,0.6201,590.051002900971
100,0.5875,700.9557809098258
90,0.5684,771.9585459011778
80,0.5478,860.7447216310344
70,0.5212,966.4164943403555
60,0.4958,1099.5855703137343
55,0.4809,1179.6208252520205
50,0.4628,1278.045095715554
45,0.4456,1387.1619744179197
40,0.4248,1526.326465825646
35,0.4035,1689.7448926562242
30,0.3799,1883.447322300609
25,0.3525,2142.449679674248
20,0.3192,2488.712054001854
15,0.2792,2994.1316695168534
10,0.2271,3871.2113039080705
