L,Cmps,QPS,Recall
1700,6540,244.499,100
1400,5997,278.164,100
1100,5363,326.264,100
1000,5125,349.04,100
900,4872,373.134,100
800,4599,404.858,100
700,4304,439.56,100
600,3980,490.196,99.95
500,3621,550.964,99.95
400,3216,643.087,99.95
300,2741,775.194,99.9
250,2468,877.193,99.9
200,2168,1005.03,99.85
180,2035,1081.08,99.85
160,1896,1176.47,99.85
140,1747,1282.05,99.65
120,1587,1418.44,99.6
100,1413,1574.8,99.5
90,1321,1709.4,99.4
80,1223,1851.85,99
70,1120,2020.2,98.85
60,1011,2247.19,98.3
55,953,2380.95,98.15
50,894,2500,97.75
45,834,2702.7,97.4
40,771,2941.18,96.9
35,705,3174.6,96.3
30,635,3571.43,95.15
25,567,3921.57,93.9
20,491,4545.45,91.35
15,412,5405.41,88.5
10,327,6666.67,82.05
