1700,0.9983,1.79398,578046
1400,0.9982,1.78715,577621
1100,0.9985,1.79301,577150
1000,0.9984,1.82262,576682
900,0.9984,1.85838,574035
800,0.9982,1.90375,568119
700,0.9983,1.97216,558721
600,0.9986,2.04225,545993
500,0.9982,2.1245,529559
400,0.9981,2.23345,508853
300,0.9982,2.38115,482280
250,0.9978,2.47391,465863
200,0.9979,2.58353,447270
180,0.9978,2.65189,438724
160,0.9977,2.7145,429635
140,0.9979,2.7851,419805
120,0.9975,2.87498,409298
100,0.9973,3.0076,396237
90,0.9968,3.14342,387355
80,0.9968,3.28916,375607
70,0.996,3.48905,361207
60,0.9954,3.73445,343720
55,0.9943,3.88431,333894
50,0.9934,4.07337,323076
45,0.9929,4.29985,311268
40,0.9918,4.55658,297807
35,0.9908,4.82963,283517
30,0.9885,5.15645,267150
25,0.9833,5.51688,249606
20,0.9773,6.03016,229270
15,0.9618,6.7445,205590
10,0.9398,8.38356,173198
