1700,0.9988,46.9616,36105.8
1400,0.9987,54.942,31096.3
1100,0.9986,66.5292,25799.4
1000,0.9983,71.7721,23955.7
900,0.9988,78.1189,22065
800,0.9984,85.6458,20121.1
700,0.9983,95.2472,18122.8
600,0.9986,107.793,16055.4
500,0.9984,124.704,13915.6
400,0.9979,148.699,11675.7
300,0.9978,186.567,9320.18
250,0.9974,215.054,8082.05
200,0.9964,256.213,6801.61
180,0.9961,277.701,6273.45
160,0.9956,303.214,5731.76
140,0.9951,336.474,5178.26
120,0.9939,378.644,4609.05
100,0.9926,433.651,4021.98
90,0.9917,468.823,3720.66
80,0.9903,513.611,3409.73
70,0.9889,565.611,3091.74
60,0.9869,633.714,2766.6
55,0.9845,677.507,2599.5
50,0.9821,727.273,2430.62
45,0.9806,779.423,2261.47
40,0.975,846.74,2086.09
35,0.9708,933.707,1910.1
30,0.9657,1037.34,1731.82
25,0.9574,1172.33,1545.05
20,0.9444,1338.69,1355.43
15,0.9222,1594.9,1157.98
10,0.8853,1976.28,952.384
