ef,recall,qps,dist_comp
1700,0.0724,277.686,1706.67
1400,0.0724,363.751,1498.01
1100,0.0724,528.698,1276.94
1000,0.0724,608.992,1200.72
900,0.0724,669.494,1121.76
800,0.0724,822.031,1040.04
700,0.0724,981.607,956.761
600,0.0723,1185.28,870.161
500,0.0723,1471.57,782.029
400,0.0722,1911.07,688.44
300,0.072,2386.54,590.273
250,0.0719,3081.24,539.335
200,0.0719,3756.76,486.04
180,0.0719,3690.55,463.885
160,0.0719,4454.7,441.574
140,0.0713,4900,417.657
120,0.0712,5438.13,393.426
100,0.0706,6100.47,368.479
90,0.0699,5677.22,355.447
80,0.0699,6037.94,342.615
70,0.0699,7278.38,329.252
60,0.0698,7680.6,315.433
55,0.0696,7939.05,308.614
50,0.0692,7243.44,301.548
45,0.0684,7506.19,293.584
40,0.0681,8882.26,285.96
35,0.068,8078.92,278.47
30,0.0673,9501.69,270.563
25,0.0669,9798.75,262.465
20,0.0654,10394,253.776
15,0.0628,9526.97,244.42
10,0.0597,11464.9,235.099
