efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9908,109.966,5.82673,11261
1400,0.9905,136.778,5.88788,9684.91
1100,0.9882,177.236,5.94632,8025.21
1000,0.9871,195.781,5.96527,7451.51
900,0.9851,218.347,5.98412,6863.95
800,0.9839,246.324,6.0028,6262.23
700,0.9824,278.627,6.01981,5645.94
600,0.9795,326.424,6.03891,5010
500,0.9732,390.364,6.05727,4350.94
400,0.9684,483.07,6.07536,3665.57
300,0.9619,631.687,6.09339,2938.7
250,0.9542,744.153,6.10229,2557.41
200,0.9405,913.813,6.11159,2158.93
180,0.934,1002.95,6.11523,1994.52
160,0.927,1110.98,6.11885,1824.84
140,0.9217,1251.18,6.12263,1651.56
120,0.9143,1432.07,6.12642,1473.9
100,0.9051,1676.32,6.13024,1289.13
90,0.897,1827.79,6.1321,1194.05
80,0.8868,1994.71,6.13382,1096.71
70,0.8766,2256.07,6.13601,996.641
60,0.8586,2555.71,6.13796,895.023
55,0.852,2746.14,6.13899,842.313
50,0.8419,2973.45,6.14004,789.284
45,0.8282,3210.84,6.14097,733.698
40,0.8121,3542.48,6.14207,676.932
35,0.7889,3957.51,6.14319,618.858
30,0.7569,4471.05,6.14429,557.871
25,0.7165,5176.76,6.14544,494.225
20,0.6636,6047.26,6.14649,428.229
15,0.572,7548.71,6.14773,356.872
10,0.4148,10584.7,6.14917,277.662
