L,Cmps,QPS,Recall
1700,776,2949.85,100
1400,765,2688.17,100
1100,742,2785.52,99.99
1000,732,2873.56,99.98
900,719,2985.07,99.98
800,704,3125,99.95
700,687,3311.26,99.94
600,665,3676.47,99.94
500,640,4032.26,99.9
400,609,4545.45,99.88
300,565,5376.34,99.81
250,537,5988.02,99.77
200,503,6802.72,99.76
180,487,7246.38,99.71
160,468,7407.41,99.7
140,447,8403.36,99.65
120,423,9345.79,99.62
100,396,10416.7,99.54
90,381,11111.1,99.54
80,364,11904.8,99.53
70,345,12820.5,99.53
60,325,14084.5,99.46
55,314,14925.4,99.46
50,302,15625,99.28
45,289,16666.7,99.23
40,275,17857.1,99
35,260,19230.8,98.94
30,244,20833.3,98.81
25,225,23255.8,98.79
20,204,26315.8,98.39
15,179,31250,97.67
10,150,38461.5,96.47
