L,Cmps,QPS,Recall
1700,105539,2.46566,70.98
1400,95906,2.50801,69.38
1100,85327,2.53587,67.11
1000,81481,2.54795,66.26
900,77367,2.56165,65.3
800,72982,2.5797,64.37
700,68296,2.56844,63.26
600,63162,2.60154,61.74
500,57562,2.62833,60.3
400,51395,2.65401,58.63
300,44329,2.65983,56.21
250,40362,2.68122,54.71
200,36025,2.68591,52.92
180,34157,2.68679,52.24
160,32194,2.67961,50.79
140,30136,2.68557,49.9
120,27958,2.68194,48.77
100,25600,2.70539,46.9
90,24411,2.69895,46.59
80,23096,2.71655,45.44
70,21767,2.72015,44.88
60,20360,2.71287,43.48
55,19656,2.72218,42.8
50,18909,2.72044,42.15
45,18152,2.70912,41.32
40,17355,2.70344,40.54
35,16537,2.71505,39.39
30,15687,2.72348,38.2
25,14820,2.7191,37.27
20,13935,2.72672,36.06
15,12976,2.72578,34.41
10,11926,2.73018,31.67
