L,Cmps,QPS,Recall
1700,1871,1187.65,93.89
1400,1636,1375.52,93.61
1100,1447,1607.72,93.12
1000,1385,1700.68,92.94
900,1316,1824.82,92.72
800,1238,1960.78,92.55
700,1159,2100.84,92.36
600,1073,2325.58,92.06
500,977,2577.32,91.67
400,874,2915.45,91.26
300,753,3378.38,90.8
250,685,3663,90.41
200,610,4115.23,90.06
180,577,4310.34,89.9
160,542,4545.45,89.72
140,504,4807.69,89.48
120,465,5076.14,89.25
100,422,5464.48,88.95
90,398,5681.82,88.8
80,373,5813.95,88.68
70,346,6172.84,88.45
60,319,6451.61,88.23
55,304,6622.52,88.1
50,289,6802.72,87.95
45,272,6993.01,87.74
40,256,7194.24,87.58
35,238,7407.41,87.34
30,218,7692.31,87.15
25,197,7874.02,86.98
20,176,8264.46,86.7
15,152,8771.93,86.11
10,125,9259.26,85.46
