ef,recall,qps,distance_computations_per_query
1700,0.9975,28.6656,45574
1400,0.997,32.3415,39743.1
1100,0.9965,38.5728,33477.1
1000,0.996,41.841,31245.2
900,0.9955,45.3515,28940.3
800,0.9935,49.6401,26518.8
700,0.9925,55.0509,23994.7
600,0.9905,61.7856,21412.8
500,0.988,70.7714,18681.3
400,0.9855,83.8223,15739.5
300,0.982,105.82,12619.5
250,0.978,122.775,10939
200,0.9715,147.167,9153.44
180,0.964,160,8423.57
160,0.96,176.211,7670.06
140,0.952,195.312,6909.14
120,0.9475,222.717,6117.57
100,0.9345,256.739,5290.28
90,0.9265,280.112,4865.15
80,0.918,309.119,4415.35
70,0.908,344.234,3957.73
60,0.893,392.927,3485.57
55,0.8815,421.053,3260.88
50,0.873,454.545,3023.43
45,0.8615,493.827,2789.61
40,0.845,544.959,2527.94
35,0.825,607.903,2271.1
30,0.7965,680.272,2009.14
25,0.7655,803.213,1732.15
20,0.7285,952.381,1464.27
15,0.668,1204.82,1165.03
10,0.5975,1612.9,878.15
