ef,recall,qps,distance_computations_per_query
1700,1,71.3012,18337
1400,1,81.7661,16251.1
1100,0.9995,96.1076,13938.1
1000,0.999,102.722,13102.6
900,0.9985,110.193,12230.5
800,0.9985,119.76,11319.4
700,0.9985,131.148,10365.3
600,0.998,146.628,9342.21
500,0.9965,166.113,8254.03
400,0.9955,193.424,7069.77
300,0.992,244.499,5760.14
250,0.991,281.294,5043.28
200,0.9885,332.779,4286.89
180,0.9865,359.066,3962.29
160,0.9815,394.477,3629.14
140,0.979,436.681,3288.58
120,0.9745,491.4,2935.89
100,0.966,564.972,2562.09
90,0.9595,611.621,2367.74
80,0.954,671.141,2165.51
70,0.945,743.494,1954.26
60,0.9355,836.82,1740.22
55,0.922,896.861,1626.98
50,0.9055,956.938,1511.59
45,0.894,1047.12,1396.96
40,0.8835,1149.43,1277.73
35,0.863,1273.89,1153.41
30,0.836,1428.57,1030.87
25,0.8025,1639.34,902.57
20,0.764,1941.75,768.71
15,0.698,2352.94,634.97
10,0.621,3030.3,503.88
