ef,recall,qps,distance_computations_per_query
1700,0.9985,67.0017,19432.3
1400,0.998,75.7863,17412.2
1100,0.9975,85.6164,15130.6
1000,0.9975,92.5926,14311.2
900,0.997,99.8502,13442.8
800,0.997,107.527,12524.2
700,0.9965,116.891,11551.1
600,0.9965,129.786,10502.3
500,0.9965,145.879,9367.38
400,0.996,169.492,8136.07
300,0.995,206.186,6755.4
250,0.994,234.742,5980.97
200,0.9925,274.348,5136.59
180,0.9915,294.551,4776.47
160,0.99,321.543,4399.88
140,0.9885,353.982,4006.16
120,0.9855,397.614,3583.66
100,0.9805,455.581,3137.52
90,0.9775,491.4,2911.33
80,0.974,537.634,2671.26
70,0.9705,593.472,2424.99
60,0.964,664.452,2165.23
55,0.958,701.754,2034.44
50,0.9515,754.717,1898.93
45,0.9425,823.045,1756.72
40,0.9355,900.901,1610.08
35,0.919,995.025,1456.04
30,0.9035,1117.32,1301.71
25,0.881,1290.32,1127.8
20,0.8505,1538.46,952.245
15,0.804,1869.16,784.335
10,0.716,2469.14,595.695
