ef_search,recall,qps
2000,0.8669,51.4
1900,0.8669,48.8
1800,0.8669,50.4
1700,0.8669,49.0
1600,0.8669,50.5
1500,0.8669,48.9
1400,0.8669,50.7
1300,0.8669,49.2
1200,0.8669,49.6
1100,0.8669,50.6
1000,0.8669,50.9
900,0.8580,56.7
800,0.8478,57.3
700,0.8352,64.0
600,0.8202,73.2
500,0.8021,77.7
400,0.7774,90.5
300,0.7426,107.7
250,0.7193,121.3
200,0.6883,134.3
180,0.6734,139.7
160,0.6548,150.0
140,0.6331,159.6
120,0.6082,171.1
100,0.5763,189.4
90,0.5578,199.7
80,0.5373,210.9
70,0.5141,225.3
60,0.4873,237.5
55,0.4729,246.7
50,0.4556,253.2
45,0.4365,258.9
40,0.4152,272.2
35,0.3894,284.5
30,0.3603,299.1
25,0.3284,311.0
20,0.2913,332.1
15,0.2490,347.9
10,0.1840,358.9
