probes,recall,qps
1,0.2612,379.8
2,0.3953,277.6
3,0.4841,244.8
5,0.5962,192.3
10,0.7403,134.9
20,0.8600,93.1
30,0.9114,65.5
50,0.9564,44.4
100,0.9880,23.2
200,0.9985,12.0
500,0.9999,5.2
1000,0.9999,3.4
