L,Cmps,QPS,Recall
1700,3040,554.017,99.95
1400,2928,600.601,99.95
1100,2777,647.249,99.95
1000,2714,682.594,99.95
900,2644,714.286,99.85
800,2564,746.269,99.85
700,2472,787.402,99.8
600,2359,840.336,99.75
500,2227,909.091,99.55
400,2062,1000,99.45
300,1853,1136.36,99
250,1720,1234.57,98.8
200,1557,1379.31,98.3
180,1486,1449.28,98.1
160,1406,1526.72,97.95
140,1313,1652.89,97.05
120,1215,1769.91,96.35
100,1106,1941.75,95.6
90,1043,2083.33,94.65
80,979,2173.91,94
70,911,2352.94,93.1
60,832,2564.1,91.35
55,790,2739.73,90.55
50,744,2857.14,89.45
45,699,3076.92,88.5
40,654,3225.81,87.3
35,602,3508.77,85.65
30,545,3846.15,83.55
25,488,4255.32,80.9
20,425,4761.9,77.2
15,359,5555.56,72.65
10,277,6896.55,64.4
