L,Cmps,QPS,Recall
1700,82390,2.503,55.85
1400,74400,2.53241,54.35
1100,65708,2.59313,52.95
1000,62582,2.60919,52.6
900,59269,2.60512,51.4
800,55753,2.61547,50.3
700,51967,2.62691,49.45
600,47973,2.64187,47.9
500,43583,2.65421,46.45
400,38808,2.6611,45.9
300,33346,2.6786,44.3
250,30351,2.68064,43.25
200,26940,2.68984,41.8
180,25501,2.7004,40.9
160,24000,2.69804,40.3
140,22400,2.70248,39.65
120,20732,2.70329,39.05
100,18862,2.70742,38.1
90,17886,2.71117,37.05
80,16883,2.71817,36.6
70,15814,2.71006,36.3
60,14684,2.71529,35.55
55,14083,2.71304,35
50,13493,2.71381,34.15
45,12848,2.72146,34.1
40,12218,2.71994,33.3
35,11560,2.72309,32.6
30,10901,2.72242,32.05
25,10185,2.72409,31.1
20,9434,2.72379,30.8
15,8649,2.73015,29.35
10,7768,2.73276,27.3
