L,Cmps,QPS,Recall
1700,84096,1.38433,63.4
1400,76286,1.39424,62
1100,67644,1.40202,60.55
1000,64592,1.40396,60.45
900,61307,1.41392,60
800,57721,1.418,59.1
700,53939,1.41708,57.95
600,49866,1.42215,57.15
500,45408,1.4245,56.2
400,40455,1.42816,54.65
300,34814,1.42863,53.4
250,31659,1.43592,51.3
200,28160,1.43622,50
180,26667,1.43486,49.25
160,25073,1.43759,48.3
140,23402,1.43952,47.75
120,21621,1.44212,46.65
100,19736,1.44031,45.05
90,18724,1.44477,45.2
80,17680,1.44488,44.6
70,16590,1.4446,43.75
60,15486,1.44902,42.8
55,14858,1.44484,41.7
50,14223,1.44423,40.9
45,13627,1.44055,40.65
40,12965,1.44464,40.05
35,12288,1.44291,38.9
30,11580,1.4494,38.2
25,10824,1.44447,36.3
20,10063,1.44478,35.65
15,9252,1.44669,33.05
10,8335,1.44744,31.25
