nprobe,recall,qps
1,0.3624,37.9
2,0.5223,35.9
3,0.6180,36.2
5,0.7331,35.6
10,0.8614,35.2
20,0.9439,34.7
30,0.9715,33.0
50,0.9906,31.2
100,0.9988,27.8
200,1.0000,25.1
500,1.0000,19.1
1000,1.0000,13.9
