ef,recall,qps
2000,0.9994,23.6
1900,0.9994,24.0
1800,0.9994,24.2
1700,0.9994,24.6
1600,0.9994,25.1
1500,0.9994,25.2
1400,0.9994,25.7
1300,0.9994,26.2
1200,0.9994,26.5
1100,0.9994,26.9
1000,0.9994,27.6
900,0.9994,28.2
800,0.9994,28.3
700,0.9993,29.9
600,0.9993,31.0
500,0.9992,31.3
400,0.9991,31.1
300,0.9987,32.5
250,0.9984,33.2
200,0.9976,32.8
180,0.9970,34.3
160,0.9962,33.9
140,0.9950,33.8
120,0.9933,34.9
100,0.9902,34.2
90,0.9880,34.8
80,0.9850,34.3
70,0.9809,34.9
60,0.9749,35.1
55,0.9708,35.0
50,0.9653,35.4
45,0.9590,35.3
40,0.9506,36.1
35,0.9399,35.8
30,0.9256,35.8
25,0.9052,35.9
20,0.8767,35.1
15,0.8332,35.2
10,0.7610,35.2
