L,Cmps,QPS,Recall
1700,2456,636.943,99.15
1400,2409,680.272,98.65
1100,2336,740.741,97.85
1000,2303,766.284,97.7
900,2265,796.813,97.15
800,2217,829.875,96.6
700,2161,873.362,96.2
600,2086,921.659,95.1
500,1993,985.222,93.65
400,1871,1069.52,91.55
300,1701,1190.48,89.2
250,1588,1250,87.05
200,1450,1369.86,84.95
180,1386,1418.44,83.45
160,1315,1481.48,82.25
140,1232,1562.5,80.5
120,1143,1639.34,78.7
100,1040,1739.13,76.4
90,983,1801.8,74.85
80,924,1869.16,73.65
70,859,1886.79,71.95
60,788,2040.82,69.8
55,746,2127.66,68.7
50,705,2197.8,67.15
45,662,2247.19,65.95
40,619,2325.58,64.75
35,565,2409.64,62.65
30,514,2531.65,61.1
25,459,2666.67,58.05
20,398,2816.9,54.25
15,335,3030.3,50.75
10,266,3225.81,46.5
