L,Cmps,QPS,Recall
1700,50789,98.9609,63.5
1400,43759,119.119,61.05
1100,36308,149.925,58.85
1000,33698,162.866,57.15
900,30886,180.18,55.75
800,28284,199.402,54.15
700,25587,224.215,53.15
600,22639,257.4,51.1
500,19653,302.115,48.75
400,16447,369.004,45.5
300,13114,469.484,41.8
250,11326,550.964,39.05
200,9568,660.066,36.9
180,8862,714.286,35.75
160,8153,784.314,34.95
140,7438,862.069,33.8
120,6632,975.61,32.4
100,5839,1117.32,30.65
90,5380,1212.12,29.6
80,4961,1315.79,28.75
70,4515,1428.57,27.45
60,4055,1612.9,25.8
55,3824,1709.4,24.7
50,3578,1834.86,24.05
45,3331,1980.2,23.25
40,3077,2150.54,22.3
35,2851,2325.58,21.55
30,2599,2531.65,20.35
25,2311,2857.14,19.1
20,2016,3225.81,17.45
15,1711,3773.58,14.8
10,1338,4651.16,11.85
