ef_search,recall,qps
2000,1.0000,0.6
1900,1.0000,0.6
1800,1.0000,0.6
1700,1.0000,0.6
1600,1.0000,0.6
1500,1.0000,0.6
1400,1.0000,0.6
1300,1.0000,0.6
1200,1.0000,0.6
1100,1.0000,0.6
1000,1.0000,0.6
900,1.0000,0.6
800,1.0000,0.6
700,1.0000,0.6
600,1.0000,0.6
500,1.0000,0.6
400,1.0000,0.6
300,1.0000,0.6
250,1.0000,0.6
200,1.0000,0.6
180,1.0000,0.6
160,1.0000,0.6
140,1.0000,0.6
120,1.0000,0.7
100,1.0000,0.6
